,k-means clusters 50
0,0.0019529643233751333
1,0.2550709067314878
2,0.011439636268092105
3,0.0031265078000517425
4,0.0016862797285414656
5,0.0019419642591330445
6,0.0014642883114907089
7,0.002520206101214412
8,0.003250805184640553
9,0.0029874155496060293
10,0.013348929373679107
11,0.0029453424823652026
12,0.004012382561862373
13,0.012995021221988754
14,0.0038882788355435204
15,0.059337937360416336
16,0.005815679345942663
17,0.005570899425910089
18,0.0019759624834140856
19,0.010235145729417527
20,0.003307134378205882
21,0.0016207258807295105
22,0.0007105999500001732
23,0.1631421252613082
24,0.016715781563984244
25,0.0025192448646100068
26,0.002360195194998206
27,0.0022224402983067287
28,0.003941693412011219
29,0.0018431601875878432
30,0.010488964418841092
31,0.0027345960509733615
32,0.011598123354183294
33,0.012169285907309903
34,0.0017332800532771273
35,0.0011638047406669007
36,0.17863363211787017
37,0.011387490579664792
38,0.005807837080183826
39,0.09926885240705871
40,0.0034142266429623386
41,0.004183298875546191
42,0.01378060292951678
43,0.01487143877085422
44,0.0009153712772903622
45,0.006282849282365547
46,0.007157031917561688
47,0.006585557550172793
48,0.0017843470762809413
49,0.002089754897505373
